Nombre,Descripción,Dirección,Localidad,coord_x,coord_y
Auditorio Aula Magna - Universidad Santo Tomás,Teatro,KR 9 # 51 - 11,Chapinero,"-74,06442704369782","4,638167317850006"
Auditorio Fabio Lozano - Universidad Jorge Tadeo Lozano,Auditorio,KR 4 # 22 - 61 MOD 21 ED Auditorio Biblioteca,Santa Fe,"-74,06823305374134","4,606990298631593"
Auditorio Jorge Enrique Molina - Auditorio Fundadores y Teatro México,Auditorio,CL 22 # 5 - 85,Santa Fe,"-74,0697687794151","4,60694958241483"
Auditorio León de Greiff Universidad Nacional de Colombia,Auditorio,AK 30 # 45 - 03,Teusaquillo,"-74,08567411357879","4,638411290972897"
Auditorio Lorenzo Botero Jaramillo - Fenalco,Auditorio,KR 4 # 19 - 85,Santa Fe,"-74,0688626721442","4,604271008608683"
Auditorio Mayor Francisco José de Caldas,Auditorio,KR 3 # 26A - 40,Santa Fe,"-74,06321318708531","4,612988444695394"
Auditorio Huitaca,Auditorio,KR 8 # 10 - 65,Candelaria,"-74,07661969648778","4,5984092766843725"
Bolón de Verede Casa Cultural,Teatro,KR 1A # 12B - 20,Candelaria,"-74,06952599533649","4,597113175665092"
Casa Teatrova,Teatro,CL 24 # 4A - 16,Santa Fe,"-74,06753852307607","4,608551778828892"
Cayena Cultural,Teatro,CL 39 # 20 - 38,Teusaquillo,"-74,07413156167846","4,627753098094043"
Centro Cultural Gabriel García Márquez El Original,Teatro,CL 12B # 3 - 17,Candelaria,"-74,07103036621358","4,597554230706349"
Centro de Convenciones Gonzalo Jiménez de Quesada,Teatro,CL 26A # 13A - 10,Santa Fe,"-74,07184438269313","4,615456007415847"
Centro de Eventos y Convenciones D.T S.A.S - Down Town Majestic,Teatro,CL 23 # 6 - 19,Santa Fe,"-74,06990985354224","4,608439929458141"
Círculo Colombiano de Artistas - CICA,Teatro,CL 46 # 28 - 30,Teusaquillo,"-74,07840067570883","4,636270187162562"
Compañía de Marionetas Néstor Mahecha,Teatro,KR 23 # 54 - 40,Teusaquillo,"-74,07180856057454","4,64453316111757"
Corporación de Teatro y Cultura Acto Latino,Teatro,KR 16 No. 58 A 55,Teusaquillo,"-74,06763554741494","4,64559189055343"
Corporación Teatral Barraca,Teatro,KR 17 # 50 - 60,Teusaquillo,"-74,06955360326013","4,6385400868147"
Espacio Odeón,Teatro,KR 5 # 12C - 73,Candelaria,"-74,07172310923146","4,600467939654569"
Factoria L´Explose,Teatro,KR 25 # 50 - 34,Teusaquillo,"-74,07488643846959","4,6392162999661055"
Fundación Cultural Teatro El Local La Quinta Porra,Teatro,CL 11 # 2 - 78,Candelaria,"-74,07144046241214","4,596063645967299"
Fundación de Títeres y Teatro Libélula Dorada,Teatro,KR 19 # 51 - 69,Teusaquillo,"-74,07106246481531","4,639859631748024"
Fundación La Maldita Vanidad Teatro,Teatro,KR 19 # 45A - 17,Teusaquillo,"-74,07180624202279","4,6337441767663154"
Fundación Teatral Barajas,Teatro,KR 23 # 54 - 40,Teusaquillo,"-74,07180856057454","4,64453316111757"
Fundación Teatro Estudio Calarcá - TECAL,Teatro,CL 12B # 2 - 70,Candelaria,"-74,07040281393589","4,597725601556502"
Fundación Teatro Libre Sede Centro,Teatro,CL 12B # 2 - 44,Candelaria,"-74,07007050375609","4,597556814902269"
Mapa Teatro,Teatro,KR 7 # 23 - 08,Santa Fe,"-74,0700465474841","4,609013797291825"
Sala de Música Biblioteca Luis Ángel Arango,Teatro,KR 5 # 11 - 68,Candelaria,"-74,07357071380217","4,597154077797579"
Sala Seki Sano,Teatro,CL 12 # 2 - 85,Candelaria,"-74,07119311579024","4,596542860240155"
Teatro Al Aire Libre La Media Torta,Teatro,CL 18 # 1 - 05,Candelaria,"-74,066642427529","4,600907985270388"
Teatro Bernardo Romero Lozano Actores Sociedad Colombiana de Gestión Círculo Colombiano de Artistas,Teatro,CL 46 # 28 - 30,Teusaquillo,"-74,07840067570883","4,636270187162562"
Teatro Cádiz,Teatro,KR 37 # 24 - 30,Teusaquillo,"-74,08884321269599","4,627798223791483"
Teatro Colsubsidio Roberto Arias Pérez,Teatro,AC 26 # 25 - 50,Teusaquillo,"-74,07731544257365","4,6216899181227715"
Teatro de Bogotá - Auditorio Universidad Central,Teatro,CL 22 # 5 - 62,Santa Fe,"-74,06956560654896","4,607666110305166"
Teatro de Cristóbal Colón Sala Víctor Mallarino,Teatro,CL 10 # 5 - 32,Candelaria,"-74,07431058693142","4,596750207751667"
Teatro de Cristóbal Colón Teatro Delia Aapata Olivella,Teatro,CL 10 #  5 - 32,Candelaria,"-74,07431058693142","4,596750207751667"
Teatro de Sueños,Teatro,KR 1 # 12C - 49,Candelaria,"-74,06854618578814","4,597858483444335"
Teatro Ditirambo Sede Palermo,Teatro,CL 45A # 14 - 37,Teusaquillo,"-74,06818372185919","4,6330019706613745"
Teatro El Dorado ECCI,Teatro,CL 17 # 4 - 64,Santa Fe,"-74,07009397493783","4,6023748411252505"
Teatro Ernesto Aronna,Teatro,KR 20 # 45A - 59,Teusaquillo,"-74,0725886413976","4,634609597758167"
Teatro Faenza - Auditorio Universidad Central,Teatro,CL 22 # 5 - 66,Santa Fe,"-74,06915876315006","4,607063168225479"
Teatro Jorge Eliecer Gaitán,Teatro,KR 7 # 22 - 47,Santa Fe,"-74,07094178783498","4,608780400485399"
Teatro La Baranda Sede Candelaria,Teatro,CL 9 # 5 - 65,Candelaria,"-74,07517751148626","4,595566704598709"
Teatro La Baranda Sede Administrativa,Teatro,KR 37 # 57 - 43,Teusaquillo,"-74,08203536355296","4,647180864553375"
Teatro La Candelaria,Teatro,CL 12 # 2 - 59,Candelaria,"-74,07098255787416","4,596301592128125"
Teatro La Macarena,Teatro,CL 26A # 4A - 17,Santafe,"-74,06689778712324","4,610033318850974"
Teatro Libre Sede Centro,Teatro,CL 12B # 2 - 44,Candelaria,"-74,07007050375609","4,597556814902269"
Teatro Metropol,Teatro,CL 24 # 6 - 31,Santa Fe,"-74,06962429797805","4,609347303545711"
Teatro San Jorge,Teatro,KR 15 # 13 - 66,Los Mártires,"-74,08049366857415","4,604221632664368"
Teatro Santafe,Teatro,AC 57 # 17 - 13,Teusaquillo,"-74,06891379886028","4,644294980441232"
